Feature,importance
Failed_Transaction_Count_7d,0.8625241055667021
Transaction_Distance,0.018369566630387493
Avg_Transaction_Amount_7d,0.017438409332216652
Account_Balance,0.017273245315234373
Transaction_Amount,0.01695587664617785
Card_Age,0.014993629992021884
Transaction_Hour,0.009701868707108565
Daily_Transaction_Count,0.008264691893100596
Transaction_DayOfWeek,0.006143277797653934
Location,0.00494389483319096
Merchant_Category,0.004816792408139351
Authentication_Method,0.004050089322285728
Card_Type,0.004038863488398055
Transaction_Type,0.003964884656681715
Device_Type,0.0032101015212198402
Is_Weekend,0.00171826124270167
Previous_Fraudulent_Activity,0.0009395306292051188
IP_Address_Flag,0.0006529100175742879
